os_ukc_aft,os_heading,os_mainbeckerrudder_angle,sune_DOA,aarts_DOA,time,label
4.048904795,40.00015533,0,3053.570473,3053.57034,0:00:01,0
4.050270364,40.00035903,0,3048.450058,3048.45331,0:00:02,0
4.048150918,40.00065695,0,3043.343786,3043.352308,0:00:03,0
4.044827878,40.00093096,0,3038.292494,3038.302889,0:00:04,0
4.043098486,40.00112602,0,3033.176206,3033.183863,0:00:05,0
4.043876908,40.00120778,0,3028.0744,3028.078284,0:00:06,0
4.046357074,40.00115824,0,3022.976701,3022.978613,0:00:07,0
4.048072552,40.00110394,0,3017.882991,3017.88466,0:00:08,0
4.04799155,40.00106336,0,3012.793782,3012.796482,0:00:09,0
4.046339788,40.00113488,0,3007.709683,3007.714109,0:00:10,0
4.044891142,40.00131974,0,3002.660229,3002.665971,0:00:11,0
4.044607486,40.00167193,0,2997.592725,2997.598454,0:00:12,0
4.045586949,40.00215499,0,2992.532886,2992.537658,0:00:13,0
4.046744519,40.00275472,0,2987.453577,2987.45726,0:00:14,0
4.047223341,40.00325151,0,2982.397483,2982.400615,0:00:15,0
4.046646103,40.00333415,0,2977.390018,2977.39322,0:00:16,0
4.046031872,40.00276677,0,2972.297394,2972.301064,0:00:17,0
4.045764116,40.00118628,0,2967.261095,2967.26533,0:00:18,0
4.045950782,39.99814605,0,2962.23181,2962.236358,0:00:19,0
4.046531444,39.99339348,0,2957.312361,2957.316827,0:00:20,0
4.046878326,39.98626424,0,2952.231082,2952.235212,0:00:21,0
4.046808585,39.97652088,0.046755694,2947.187201,2947.191031,0:00:22,0
4.046566035,39.9639283,0.158940573,2942.18372,2942.187443,0:00:23,0
4.046467472,39.94834225,0.312483946,2937.229492,2937.233332,0:00:24,0
4.046584947,39.92922289,0.479532884,2932.174863,2932.178857,0:00:25,0
4.046756933,39.90725189,0.647339654,2927.21379,2927.217891,0:00:26,0
4.046852501,39.88204736,0.817427432,2922.226991,2922.231104,0:00:27,0
4.04680645,39.85395811,0.99095958,2917.253778,2917.257833,0:00:28,0
4.046570278,39.82296801,1.163550315,2912.253694,2912.257653,0:00:29,0
4.046362989,39.78976093,1.333226196,2907.288078,2907.291937,0:00:30,0
4.046405157,39.75472276,1.498641797,2902.341544,2902.345321,0:00:31,0
4.046106252,39.71816895,1.656914736,2897.384589,2897.388409,0:00:32,0
4.045850444,39.68097381,1.803472877,2892.475157,2892.47904,0:00:33,0
4.045623105,39.64299934,1.93826867,2887.528997,2887.532976,0:00:34,0
4.045109901,39.60467291,2.060039816,2882.548675,2882.552681,0:00:35,0
4.044740912,39.56742571,2.164612032,2877.66287,2877.6669,0:00:36,0
4.044459506,39.53014317,2.250900911,2872.691087,2872.695097,0:00:37,0
4.044363563,39.49420261,2.332402108,2867.778858,2867.782852,0:00:38,0
